name_file,dir_name,error_message,error_file,full_error
VFM095e7697c9b3cf9.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/21.03.2020/VFM095e7697c9b3cf9.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 21/03/2020 17:40:09  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 41.808 ms  Memory peak 2.00MB
ZLDGN5e7697c920b18.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/21.03.2020/ZLDGN5e7697c920b18.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 21/03/2020 17:40:09  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 37.512 ms  Memory peak 4.00MB
IZDQD5e77ad22011f1.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/22.03.2020/IZDQD5e77ad22011f1.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 22/03/2020 13:23:30  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 59.537 ms  Memory peak 8.00MB
K0OCL5e77ad0722e06.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/22.03.2020/K0OCL5e77ad0722e06.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 22/03/2020 13:23:03  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 160.373 ms  Memory peak 14.00MB
580ER5e7a9afedfdcb.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/24.03.2020/580ER5e7a9afedfdcb.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 24/03/2020 18:42:54  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 60.144 ms  Memory peak 12.00MB
GGK795e7a9b0215ab3.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/24.03.2020/GGK795e7a9b0215ab3.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 24/03/2020 18:42:58  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 55.698 ms  Memory peak 2.00MB
I02IB5e7a21d6229e3.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/24.03.2020/I02IB5e7a21d6229e3.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 24/03/2020 10:05:58  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 8  Total time 50.296 ms  Memory peak 2.00MB
PUWUM5e7a98915252f.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/24.03.2020/PUWUM5e7a98915252f.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 24/03/2020 18:32:33  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 40.568 ms  Memory peak 2.00MB
TB5965e7a98957f709.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/24.03.2020/TB5965e7a98957f709.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 24/03/2020 18:32:37  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 35.515 ms  Memory peak 2.00MB
UP2LH5e7ad5198c996.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/24.03.2020/UP2LH5e7ad5198c996.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 24/03/2020 22:50:49  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 41.210 ms  Memory peak 2.00MB
